wilaya_id,wilaya_code,date,nb_detections,frp_total,frp_max,fire_detected
1,01,2022-02-03,3,10.46,5.1,1
1,01,2022-02-07,2,4.83,3.69,1
1,01,2022-02-08,4,7.86,2.51,1
1,01,2022-03-02,3,1.93,0.69,1
1,01,2022-03-03,1,5.98,5.98,1
1,01,2022-03-08,1,1.15,1.15,1
1,01,2022-03-21,4,12.59,8.52,1
1,01,2022-03-25,1,1.42,1.42,1
1,01,2022-04-03,1,0.78,0.78,1
1,01,2022-04-04,1,0.69,0.69,1
1,01,2022-04-07,2,2.16,1.08,1
1,01,2022-04-14,3,7.95,3.37,1
1,01,2022-04-17,4,11.540000000000001,8.0,1
1,01,2022-04-19,1,3.88,3.88,1
1,01,2022-04-25,1,0.48,0.48,1
1,01,2022-04-27,1,6.55,6.55,1
1,01,2022-04-29,1,1.35,1.35,1
1,01,2022-04-30,2,2.29,1.97,1
1,01,2022-05-01,3,7.33,2.89,1
1,01,2022-05-04,2,8.58,4.54,1
1,01,2022-05-14,1,5.51,5.51,1
1,01,2022-05-16,1,0.17,0.17,1
1,01,2022-05-17,1,0.61,0.61,1
1,01,2022-05-20,2,59.48,29.74,1
1,01,2022-05-30,6,98.08,20.76,1
1,01,2022-06-15,3,18.58,10.72,1
1,01,2022-06-21,3,2.42,1.16,1
1,01,2022-06-24,2,3.78,1.89,1
1,01,2022-06-26,1,1.92,1.92,1
1,01,2022-07-02,1,34.18,34.18,1
1,01,2022-07-04,1,1.04,1.04,1
1,01,2022-07-05,1,0.94,0.94,1
1,01,2022-07-06,4,46.349999999999994,12.51,1
1,01,2022-07-08,2,3.26,1.66,1
